2025-12-21 19:49:49,854 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:50:43,496 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:55:08,550 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:24:10,204 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:37:37,424 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:48:13,338 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-23 20:03:34,244 - INFO - Ep 390: Reward=30.0, Steps=41, MaxX=293, Flag=\u274c, \u03b5=0.100, Loss=50.6898, Q=40.45
2025-12-23 20:03:40,680 - INFO - Ep 400: Reward=53.3, Steps=39, MaxX=297, Flag=\u274c, \u03b5=0.100, Loss=38.6762, Q=40.79
2025-12-23 20:03:51,517 - INFO - Ep 410: Reward=68.0, Steps=121, MaxX=696, Flag=\u274c, \u03b5=0.100, Loss=43.1913, Q=40.68
2025-12-23 20:03:57,926 - INFO - Ep 420: Reward=113.5, Steps=116, MaxX=707, Flag=\u274c, \u03b5=0.100, Loss=42.7868, Q=40.48
2025-12-23 20:04:29,345 - INFO - Ep 430: Reward=36.4, Steps=35, MaxX=308, Flag=\u274c, \u03b5=0.100, Loss=33.8537, Q=40.26
2025-12-23 20:04:50,959 - INFO - Ep 440: Reward=126.9, Steps=267, MaxX=865, Flag=\u274c, \u03b5=0.100, Loss=36.0684, Q=40.38
2025-12-23 20:05:01,397 - INFO - Ep 450: Reward=122.9, Steps=107, MaxX=678, Flag=\u274c, \u03b5=0.100, Loss=37.7994, Q=40.79
2025-12-23 20:05:10,730 - INFO - Ep 460: Reward=34.6, Steps=34, MaxX=309, Flag=\u274c, \u03b5=0.100, Loss=39.8232, Q=40.60
2025-12-23 20:05:24,995 - INFO - Ep 470: Reward=130.3, Steps=96, MaxX=699, Flag=\u274c, \u03b5=0.100, Loss=35.3729, Q=40.94
2025-12-23 20:05:35,553 - INFO - Ep 480: Reward=34.3, Steps=35, MaxX=309, Flag=\u274c, \u03b5=0.100, Loss=33.1503, Q=40.44
2025-12-23 20:05:42,324 - INFO - Ep 490: Reward=33.7, Steps=35, MaxX=311, Flag=\u274c, \u03b5=0.100, Loss=37.8831, Q=40.83
2025-12-23 20:05:53,323 - INFO - Ep 500: Reward=55.6, Steps=34, MaxX=313, Flag=\u274c, \u03b5=0.100, Loss=41.4244, Q=40.98
2025-12-23 20:06:03,019 - INFO - Ep 510: Reward=34.9, Steps=34, MaxX=309, Flag=\u274c, \u03b5=0.100, Loss=35.4055, Q=41.02
2025-12-23 20:06:09,690 - INFO - Ep 520: Reward=33.8, Steps=36, MaxX=308, Flag=\u274c, \u03b5=0.100, Loss=34.9240, Q=40.06
2025-12-23 20:06:15,775 - INFO - Ep 530: Reward=34.9, Steps=33, MaxX=308, Flag=\u274c, \u03b5=0.100, Loss=37.9300, Q=40.30
2025-12-23 20:06:29,000 - INFO - Ep 540: Reward=280.0, Steps=200, MaxX=1412, Flag=\u274c, \u03b5=0.100, Loss=38.7366, Q=40.79
2025-12-23 20:06:40,944 - INFO - Ep 550: Reward=35.0, Steps=35, MaxX=309, Flag=\u274c, \u03b5=0.100, Loss=44.8871, Q=41.13
2025-12-23 20:06:53,974 - INFO - Ep 560: Reward=200.8, Steps=630, MaxX=1418, Flag=\u274c, \u03b5=0.100, Loss=40.1316, Q=40.60
2025-12-23 20:07:06,459 - INFO - Ep 570: Reward=66.7, Steps=126, MaxX=682, Flag=\u274c, \u03b5=0.100, Loss=42.3429, Q=40.53
2025-12-23 20:07:22,489 - INFO - Ep 580: Reward=54.1, Steps=37, MaxX=306, Flag=\u274c, \u03b5=0.100, Loss=44.4770, Q=39.79
2025-12-23 20:07:28,099 - INFO - Ep 590: Reward=33.9, Steps=36, MaxX=309, Flag=\u274c, \u03b5=0.100, Loss=40.6652, Q=40.53
2025-12-23 20:07:43,584 - INFO - Ep 600: Reward=31.4, Steps=38, MaxX=300, Flag=\u274c, \u03b5=0.100, Loss=34.6818, Q=40.38
2025-12-23 20:07:55,743 - INFO - Ep 610: Reward=121.1, Steps=277, MaxX=803, Flag=\u274c, \u03b5=0.100, Loss=39.5321, Q=40.04
2025-12-23 20:08:07,950 - INFO - Ep 620: Reward=151.9, Steps=175, MaxX=804, Flag=\u274c, \u03b5=0.100, Loss=40.1892, Q=40.06
2025-12-23 20:08:17,914 - INFO - Ep 630: Reward=27.8, Steps=44, MaxX=289, Flag=\u274c, \u03b5=0.100, Loss=38.3319, Q=40.34
